trade_id,market_id,signal_time,exec_time,delay_min,slippage_pct,mid_price,exec_price,notional,fee,outcome,pnl
19,MKT-3,2026-02-19T11:55:53.658632,2026-02-19T12:00:53.658632,5,0.5,0.7752,0.7791,100.0,0.5,1,-0.5
20,MKT-3,2026-02-19T11:55:53.658632,2026-02-19T12:00:53.658632,5,1.0,0.7752,0.783,100.0,0.5,1,-0.5
21,MKT-3,2026-02-19T11:55:53.658632,2026-02-19T12:00:53.658632,5,2.0,0.7752,0.7907,100.0,0.5,1,-0.5
22,MKT-3,2026-02-19T11:55:53.658632,2026-02-19T12:10:53.658632,15,0.5,0.7752,0.7791,100.0,0.5,0,-100.5
23,MKT-3,2026-02-19T11:55:53.658632,2026-02-19T12:10:53.658632,15,1.0,0.7752,0.783,100.0,0.5,1,-0.5
24,MKT-3,2026-02-19T11:55:53.658632,2026-02-19T12:10:53.658632,15,2.0,0.7752,0.7907,100.0,0.5,1,-0.5
25,MKT-3,2026-02-19T11:55:53.658632,2026-02-19T12:25:53.658632,30,0.5,0.7752,0.7791,100.0,0.5,1,-0.5
26,MKT-3,2026-02-19T11:55:53.658632,2026-02-19T12:25:53.658632,30,1.0,0.7752,0.783,100.0,0.5,0,-100.5
27,MKT-3,2026-02-19T11:55:53.658632,2026-02-19T12:25:53.658632,30,2.0,0.7752,0.7907,100.0,0.5,1,-0.5
28,MKT-4,2026-02-19T11:55:53.658690,2026-02-19T12:00:53.658690,5,0.5,0.7764,0.7803,100.0,0.5,1,-0.5
29,MKT-4,2026-02-19T11:55:53.658690,2026-02-19T12:00:53.658690,5,1.0,0.7764,0.7842,100.0,0.5,1,-0.5
30,MKT-4,2026-02-19T11:55:53.658690,2026-02-19T12:00:53.658690,5,2.0,0.7764,0.7919,100.0,0.5,0,-100.5
31,MKT-4,2026-02-19T11:55:53.658690,2026-02-19T12:10:53.658690,15,0.5,0.7764,0.7803,100.0,0.5,1,-0.5
32,MKT-4,2026-02-19T11:55:53.658690,2026-02-19T12:10:53.658690,15,1.0,0.7764,0.7842,100.0,0.5,1,-0.5
33,MKT-4,2026-02-19T11:55:53.658690,2026-02-19T12:10:53.658690,15,2.0,0.7764,0.7919,100.0,0.5,0,-100.5
34,MKT-4,2026-02-19T11:55:53.658690,2026-02-19T12:25:53.658690,30,0.5,0.7764,0.7803,100.0,0.5,1,-0.5
35,MKT-4,2026-02-19T11:55:53.658690,2026-02-19T12:25:53.658690,30,1.0,0.7764,0.7842,100.0,0.5,0,-100.5
36,MKT-4,2026-02-19T11:55:53.658690,2026-02-19T12:25:53.658690,30,2.0,0.7764,0.7919,100.0,0.5,1,-0.5
37,MKT-5,2026-02-19T11:55:53.658758,2026-02-19T12:00:53.658758,5,0.5,0.6841,0.6875,100.0,0.5,1,-0.5
38,MKT-5,2026-02-19T11:55:53.658758,2026-02-19T12:00:53.658758,5,1.0,0.6841,0.6909,100.0,0.5,1,-0.5
39,MKT-5,2026-02-19T11:55:53.658758,2026-02-19T12:00:53.658758,5,2.0,0.6841,0.6978,100.0,0.5,1,-0.5
40,MKT-5,2026-02-19T11:55:53.658758,2026-02-19T12:10:53.658758,15,0.5,0.6841,0.6875,100.0,0.5,1,-0.5
41,MKT-5,2026-02-19T11:55:53.658758,2026-02-19T12:10:53.658758,15,1.0,0.6841,0.6909,100.0,0.5,1,-0.5
42,MKT-5,2026-02-19T11:55:53.658758,2026-02-19T12:10:53.658758,15,2.0,0.6841,0.6978,100.0,0.5,1,-0.5
43,MKT-5,2026-02-19T11:55:53.658758,2026-02-19T12:25:53.658758,30,0.5,0.6841,0.6875,100.0,0.5,1,-0.5
44,MKT-5,2026-02-19T11:55:53.658758,2026-02-19T12:25:53.658758,30,1.0,0.6841,0.6909,100.0,0.5,1,-0.5
45,MKT-5,2026-02-19T11:55:53.658758,2026-02-19T12:25:53.658758,30,2.0,0.6841,0.6978,100.0,0.5,1,-0.5
46,MKT-6,2026-02-19T11:55:53.658817,2026-02-19T12:00:53.658817,5,0.5,0.3832,0.3851,100.0,0.5,1,-0.5
47,MKT-6,2026-02-19T11:55:53.658817,2026-02-19T12:00:53.658817,5,1.0,0.3832,0.387,100.0,0.5,1,-0.5
48,MKT-6,2026-02-19T11:55:53.658817,2026-02-19T12:00:53.658817,5,2.0,0.3832,0.3909,100.0,0.5,0,-100.5
49,MKT-6,2026-02-19T11:55:53.658817,2026-02-19T12:10:53.658817,15,0.5,0.3832,0.3851,100.0,0.5,0,-100.5
50,MKT-6,2026-02-19T11:55:53.658817,2026-02-19T12:10:53.658817,15,1.0,0.3832,0.387,100.0,0.5,0,-100.5
